text,summary
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #17 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #17)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #17 in the series.,Parabola (upwards): y = ax² (Concept #17)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #17 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #17)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #17 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #17)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #18 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #18)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #18 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #18)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #18 in the series.",Line equation: y = mx + c (Concept #18)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #18 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #18)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #18 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #18)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #18 in the series.,General line form: Ax + By + C = 0 (Concept #18)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #18 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #18)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #18 in the series.,Parabola (upwards): y = ax² (Concept #18)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #18 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #18)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #18 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #18)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #19 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #19)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #19 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #19)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #19 in the series.",Line equation: y = mx + c (Concept #19)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #19 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #19)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #19 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #19)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #19 in the series.,General line form: Ax + By + C = 0 (Concept #19)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #19 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #19)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #19 in the series.,Parabola (upwards): y = ax² (Concept #19)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #19 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #19)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #19 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #19)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #20 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #20)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #20 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #20)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #20 in the series.",Line equation: y = mx + c (Concept #20)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #20 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #20)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #20 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #20)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #20 in the series.,General line form: Ax + By + C = 0 (Concept #20)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #20 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #20)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #20 in the series.,Parabola (upwards): y = ax² (Concept #20)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #20 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #20)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #20 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #20)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #21 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #21)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #21 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #21)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #21 in the series.",Line equation: y = mx + c (Concept #21)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #21 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #21)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #21 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #21)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #21 in the series.,General line form: Ax + By + C = 0 (Concept #21)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #21 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #21)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #21 in the series.,Parabola (upwards): y = ax² (Concept #21)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #21 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #21)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #21 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #21)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #22 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #22)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #22 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #22)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #22 in the series.",Line equation: y = mx + c (Concept #22)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #22 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #22)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #22 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #22)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #22 in the series.,General line form: Ax + By + C = 0 (Concept #22)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #22 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #22)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #22 in the series.,Parabola (upwards): y = ax² (Concept #22)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #22 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #22)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #22 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #22)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #23 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #23)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #23 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #23)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #23 in the series.",Line equation: y = mx + c (Concept #23)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #23 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #23)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #23 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #23)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #23 in the series.,General line form: Ax + By + C = 0 (Concept #23)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #23 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #23)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #23 in the series.,Parabola (upwards): y = ax² (Concept #23)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #23 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #23)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #23 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #23)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #24 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #24)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #24 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #24)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #24 in the series.",Line equation: y = mx + c (Concept #24)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #24 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #24)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #24 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #24)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #24 in the series.,General line form: Ax + By + C = 0 (Concept #24)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #24 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #24)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #24 in the series.,Parabola (upwards): y = ax² (Concept #24)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #24 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #24)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #24 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #24)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #25 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #25)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #25 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #25)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #25 in the series.",Line equation: y = mx + c (Concept #25)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #25 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #25)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #25 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #25)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #25 in the series.,General line form: Ax + By + C = 0 (Concept #25)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #25 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #25)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #25 in the series.,Parabola (upwards): y = ax² (Concept #25)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #25 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #25)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #25 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #25)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #26 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #26)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #26 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #26)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #26 in the series.",Line equation: y = mx + c (Concept #26)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #26 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #26)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #26 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #26)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #26 in the series.,General line form: Ax + By + C = 0 (Concept #26)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #26 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #26)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #26 in the series.,Parabola (upwards): y = ax² (Concept #26)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #26 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #26)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #26 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #26)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #27 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #27)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #27 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #27)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #27 in the series.",Line equation: y = mx + c (Concept #27)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #27 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #27)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #27 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #27)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #27 in the series.,General line form: Ax + By + C = 0 (Concept #27)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #27 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #27)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #27 in the series.,Parabola (upwards): y = ax² (Concept #27)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #27 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #27)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #27 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #27)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #28 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #28)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #28 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #28)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #28 in the series.",Line equation: y = mx + c (Concept #28)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #28 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #28)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #28 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #28)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #28 in the series.,General line form: Ax + By + C = 0 (Concept #28)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #28 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #28)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #28 in the series.,Parabola (upwards): y = ax² (Concept #28)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #28 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #28)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #28 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #28)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #29 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #29)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #29 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #29)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #29 in the series.",Line equation: y = mx + c (Concept #29)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #29 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #29)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #29 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #29)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #29 in the series.,General line form: Ax + By + C = 0 (Concept #29)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #29 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #29)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #29 in the series.,Parabola (upwards): y = ax² (Concept #29)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #29 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #29)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #29 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #29)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #30 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #30)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #30 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #30)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #30 in the series.",Line equation: y = mx + c (Concept #30)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #30 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #30)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #30 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #30)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #30 in the series.,General line form: Ax + By + C = 0 (Concept #30)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #30 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #30)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #30 in the series.,Parabola (upwards): y = ax² (Concept #30)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #30 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #30)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #30 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #30)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #31 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #31)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #31 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #31)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #31 in the series.",Line equation: y = mx + c (Concept #31)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #31 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #31)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #31 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #31)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #31 in the series.,General line form: Ax + By + C = 0 (Concept #31)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #31 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #31)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #31 in the series.,Parabola (upwards): y = ax² (Concept #31)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #31 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #31)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #31 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #31)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #32 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #32)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #32 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #32)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #32 in the series.",Line equation: y = mx + c (Concept #32)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #32 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #32)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #32 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #32)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #32 in the series.,General line form: Ax + By + C = 0 (Concept #32)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #32 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #32)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #32 in the series.,Parabola (upwards): y = ax² (Concept #32)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #32 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #32)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #32 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #32)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #33 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #33)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #33 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #33)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #33 in the series.",Line equation: y = mx + c (Concept #33)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #33 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #33)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #33 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #33)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #33 in the series.,General line form: Ax + By + C = 0 (Concept #33)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #33 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #33)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #33 in the series.,Parabola (upwards): y = ax² (Concept #33)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #33 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #33)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #33 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #33)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #34 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #34)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #34 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #34)
